Marital Status,2019 Total Workers,2019 Total Median Earnings,SOE 2019,2019 Number of Female Workers ,2019 Median Female Earnings,SOE 2019 1,2019 Number of Male Workers,2019 Median Male Earnings,SOE 2019 3,20.19
Never married,36480,740,3,16179,702,4,20301,774,4,90.7
"Married, spouse present(1)",62704,1056,4,25942,917,4,36762,1170,5,78.4
"Widowed, divorced, or separated(2)",18400,879,6,10456,803,6,7944,985,8,81.5
Widowed,1943,824,17,1427,785,16,516,985,36,79.7
Divorced,12125,929,7,6815,846,9,5310,1033,12,81.9
Separated(2),4332,767,10,2214,696,10,2118,848,15,82.1
